Species1,Species2,Species3,Species1_b,Species2_b,Species3_b,Species1_Density,Species2_Density,Species3_Density,Time
264,273,195,0,0,0,[],[],[],0
266,284,211,0,0,0,[],[],[],1
245,257,258,0,0,0,[],[],[],2
268,301,249,0,0,0,[],[],[],3
285,275,271,0,0,0,[],[],[],4
265,300,234,0,0,0,[],[],[],5
275,316,270,0,0,0,[],[],[],6
290,313,264,0,0,0,[],[],[],7
272,308,300,0,0,0,[],[],[],8
278,288,292,0,0,0,[],[],[],9
291,321,301,0,0,0,[],[],[],10
257,302,332,0,0,0,[],[],[],11
322,302,327,0,0,0,[],[],[],12
307,321,322,0,0,0,[],[],[],13
301,333,343,0,0,0,[],[],[],14
288,326,350,0,0,0,[],[],[],15
277,340,365,0,0,0,[],[],[],16
284,314,339,0,0,0,[],[],[],17
256,331,359,0,0,0,[],[],[],18
268,351,380,0,0,0,[],[],[],19
308,302,383,0,0,0,[],[],[],20
298,343,347,0,0,0,[],[],[],21
277,367,367,0,0,0,[],[],[],22
316,347,380,0,0,0,[],[],[],23
289,368,362,0,0,0,[],[],[],24
278,333,379,0,0,0,[],[],[],25
281,360,409,0,0,0,[],[],[],26
276,368,423,0,0,0,[],[],[],27
298,353,417,0,0,0,[],[],[],28
277,348,392,0,0,0,[],[],[],29
304,350,412,0,0,0,[],[],[],30
310,369,426,0,0,0,[],[],[],31
287,379,402,0,0,0,[],[],[],32
306,354,419,0,0,0,[],[],[],33
313,370,381,0,0,0,[],[],[],34
284,344,446,0,0,0,[],[],[],35
309,376,440,0,0,0,[],[],[],36
333,367,414,0,0,0,[],[],[],37
319,360,441,0,0,0,[],[],[],38
301,392,425,0,0,0,[],[],[],39
307,388,454,0,0,0,[],[],[],40
305,357,440,0,0,0,[],[],[],41
289,404,464,0,0,0,[],[],[],42
322,404,449,0,0,0,[],[],[],43
319,436,466,0,0,0,[],[],[],44
330,392,454,0,0,0,[],[],[],45
289,444,452,0,0,0,[],[],[],46
310,423,459,0,0,0,[],[],[],47
300,446,448,0,0,0,[],[],[],48
293,478,437,0,0,0,[],[],[],49
310,419,448,0,0,0,[],[],[],50
294,435,470,0,0,0,[],[],[],51
352,424,436,0,0,0,[],[],[],52
284,456,474,0,0,0,[],[],[],53
325,423,422,0,0,0,[],[],[],54
329,437,453,0,0,0,[],[],[],55
352,430,482,0,0,0,[],[],[],56
330,428,487,0,0,0,[],[],[],57
