Species1,Species2,Species3,Time
264,273,195,0
267,296,201,1
257,287,240,2
280,271,257,3
286,261,265,4
277,288,263,5
305,293,300,6
281,291,266,7
276,348,280,8
302,304,325,9
297,326,335,10
305,322,322,11
314,354,318,12
279,380,334,13
256,345,351,14
318,359,352,15
341,384,415,16
290,376,347,17
320,402,365,18
329,362,390,19
304,390,396,20
300,410,394,21
293,395,440,22
304,427,442,23
311,397,413,24
307,402,440,25
314,420,469,26
284,439,457,27
331,436,479,28
306,438,452,29
318,449,474,30
296,443,496,31
310,428,523,32
323,466,497,33
337,453,543,34
322,460,506,35
320,443,525,36
322,449,579,37
310,427,566,38
301,512,531,39
324,492,539,40
313,492,584,41
309,469,580,42
348,484,576,43
319,513,611,44
332,517,577,45
328,520,601,46
313,529,555,47
328,520,619,48
309,540,566,49
334,526,589,50
302,521,657,51
321,530,621,52
315,549,606,53
299,537,647,54
303,568,648,55
322,538,631,56
312,550,644,57
296,569,664,58
335,541,654,59
309,551,669,60
317,572,626,61
300,533,710,62
335,581,626,63
346,585,651,64
286,575,688,65
291,555,692,66
320,574,657,67
316,607,672,68
310,608,654,69
317,604,659,70
294,595,680,71
339,602,664,72
321,612,722,73
312,636,681,74
313,670,667,75
307,638,680,76
313,693,662,77
330,637,680,78
325,698,649,79
298,691,658,80
344,682,656,81
318,679,665,82
349,682,631,83
333,668,702,84
294,731,655,85
352,641,631,86
304,711,638,87
280,742,632,88
347,708,600,89
337,713,608,90
360,734,605,91
316,753,639,92
319,757,624,93
359,748,612,94
334,783,600,95
345,744,603,96
320,785,571,97
322,777,588,98
319,809,566,99
353,775,558,100
318,802,611,101
295,810,579,102
358,833,564,103
337,787,561,104
347,800,579,105
333,812,565,106
335,817,557,107
338,805,549,108
340,841,527,109
320,849,551,110
327,863,547,111
316,836,566,112
343,858,516,113
324,817,569,114
342,897,509,115
342,877,498,116
360,887,486,117
353,869,527,118
361,893,502,119
345,825,520,120
335,897,527,121
388,863,506,122
374,924,459,123
332,952,473,124
322,867,534,125
338,856,501,126
368,867,527,127
360,912,497,128
371,912,497,129
336,947,466,130
339,991,509,131
355,896,460,132
341,937,494,133
328,931,485,134
375,912,479,135
326,932,462,136
357,954,452,137
351,981,442,138
341,933,477,139
362,945,510,140
355,972,443,141
352,974,434,142
334,1022,399,143
371,963,450,144
383,978,427,145
367,970,441,146
358,979,409,147
335,997,471,148
369,1007,349,149
335,1068,381,150
342,1052,360,151
355,1008,373,152
330,1065,366,153
322,1071,388,154
334,1100,354,155
356,1053,363,156
365,1084,346,157
313,1107,366,158
348,1131,329,159
333,1059,367,160
311,1106,360,161
356,1145,330,162
333,1133,334,163
322,1131,331,164
316,1165,341,165
327,1146,311,166
307,1163,318,167
275,1149,333,168
313,1180,312,169
304,1192,290,170
317,1188,319,171
318,1206,328,172
297,1180,287,173
300,1214,298,174
305,1200,317,175
309,1189,339,176
287,1178,333,177
268,1243,309,178
295,1224,305,179
286,1233,273,180
288,1198,314,181
293,1250,249,182
277,1251,294,183
288,1261,282,184
288,1240,284,185
323,1273,274,186
273,1298,244,187
291,1312,224,188
253,1382,214,189
267,1320,258,190
267,1300,262,191
246,1347,254,192
257,1309,260,193
266,1341,232,194
246,1337,261,195
275,1359,230,196
274,1274,254,197
265,1353,234,198
255,1357,231,199
247,1321,236,200
269,1375,234,201
255,1357,235,202
263,1399,188,203
257,1380,233,204
257,1398,174,205
253,1403,193,206
265,1406,198,207
276,1383,182,208
252,1378,184,209
246,1451,175,210
251,1381,149,211
244,1441,175,212
239,1412,144,213
231,1432,165,214
255,1465,167,215
254,1454,166,216
239,1446,169,217
243,1470,178,218
217,1478,166,219
221,1508,148,220
225,1448,160,221
221,1452,170,222
244,1494,164,223
221,1497,164,224
199,1530,149,225
240,1476,163,226
203,1528,149,227
209,1535,148,228
224,1505,137,229
183,1502,159,230
204,1499,148,231
232,1511,142,232
226,1511,147,233
202,1509,150,234
225,1513,137,235
213,1499,137,236
189,1558,135,237
211,1531,125,238
192,1582,118,239
221,1536,126,240
207,1561,126,241
218,1514,149,242
207,1547,144,243
206,1576,130,244
212,1523,130,245
205,1578,123,246
222,1529,118,247
195,1574,132,248
197,1579,121,249
184,1571,131,250
201,1564,111,251
205,1571,125,252
182,1662,117,253
274,1348,141,254
378,817,204,255
439,475,236,256
480,240,263,257
517,97,285,258
568,64,300,259
503,71,295,260
504,63,286,261
533,94,295,262
566,67,287,263
558,68,311,264
570,74,328,265
536,61,319,266
561,87,346,267
575,93,367,268
551,80,383,269
543,70,387,270
607,65,363,271
581,77,422,272
559,85,419,273
622,78,413,274
586,70,428,275
604,84,477,276
578,103,464,277
632,89,429,278
617,87,462,279
585,73,503,280
580,108,462,281
569,103,478,282
603,89,529,283
619,95,532,284
636,90,521,285
586,102,546,286
609,100,521,287
566,96,562,288
619,102,549,289
622,111,550,290
636,105,550,291
653,108,553,292
635,113,565,293
616,113,541,294
625,123,569,295
664,109,578,296
632,97,597,297
612,122,596,298
598,122,603,299
646,103,623,300
653,124,652,301
677,115,604,302
