Species1,Species2,Species3,Time
264,273,195,0
266,284,211,1
245,257,258,2
268,301,249,3
285,275,271,4
265,300,234,5
275,316,270,6
290,313,264,7
272,308,300,8
278,288,292,9
291,321,301,10
257,302,332,11
322,302,327,12
307,321,322,13
301,333,343,14
288,326,350,15
277,340,365,16
284,314,339,17
256,331,359,18
268,351,380,19
308,302,383,20
298,343,347,21
277,367,367,22
316,347,380,23
289,368,362,24
278,333,379,25
281,360,409,26
276,368,423,27
298,353,417,28
277,348,392,29
304,350,412,30
310,369,426,31
287,379,402,32
306,354,419,33
313,370,381,34
284,344,446,35
309,376,440,36
333,367,414,37
319,360,441,38
301,392,425,39
307,388,454,40
305,357,440,41
289,404,464,42
322,404,449,43
319,436,466,44
330,392,454,45
289,444,452,46
310,423,459,47
300,446,448,48
293,478,437,49
310,419,448,50
294,435,470,51
352,424,436,52
284,456,474,53
325,423,422,54
329,437,453,55
352,430,482,56
330,428,487,57
338,448,457,58
309,458,456,59
334,421,502,60
284,455,484,61
332,441,489,62
325,439,504,63
335,464,491,64
318,479,495,65
344,435,502,66
330,470,486,67
342,456,477,68
333,458,494,69
318,466,482,70
332,445,474,71
349,480,470,72
342,475,500,73
331,497,488,74
309,515,475,75
350,480,497,76
345,500,487,77
339,486,482,78
331,470,506,79
332,476,478,80
343,464,520,81
355,471,490,82
338,492,487,83
332,518,486,84
353,499,501,85
347,519,503,86
339,492,497,87
325,503,514,88
342,516,500,89
331,507,549,90
318,518,471,91
367,507,519,92
346,507,509,93
327,540,492,94
379,518,506,95
318,534,506,96
326,537,518,97
357,523,541,98
345,511,522,99
345,568,531,100
353,530,518,101
307,541,491,102
356,553,493,103
369,560,495,104
359,518,483,105
369,552,514,106
362,549,502,107
354,559,513,108
322,518,509,109
336,571,502,110
351,538,512,111
333,542,536,112
381,564,495,113
348,575,496,114
343,573,534,115
327,566,519,116
358,607,509,117
319,577,516,118
362,541,499,119
354,580,496,120
344,593,494,121
357,595,502,122
373,568,514,123
339,580,497,124
356,605,476,125
359,593,501,126
384,573,501,127
361,620,482,128
341,604,532,129
346,588,506,130
350,611,478,131
363,584,482,132
344,624,506,133
358,597,541,134
359,575,513,135
350,575,526,136
328,586,513,137
357,635,499,138
314,625,483,139
365,615,542,140
321,603,554,141
318,630,533,142
314,612,525,143
347,629,529,144
346,625,497,145
328,635,538,146
347,578,514,147
356,640,488,148
330,585,569,149
350,631,535,150
335,605,519,151
351,651,491,152
342,639,502,153
321,614,580,154
287,668,537,155
333,662,575,156
350,617,549,157
342,630,518,158
329,613,526,159
293,658,516,160
324,671,555,161
320,628,559,162
327,662,543,163
331,671,539,164
347,647,513,165
312,645,493,166
337,680,514,167
345,682,501,168
339,691,517,169
331,663,514,170
333,661,534,171
345,665,505,172
328,691,520,173
322,679,517,174
322,676,486,175
336,681,539,176
327,705,525,177
323,738,495,178
347,647,534,179
314,700,518,180
314,651,561,181
326,719,506,182
316,729,503,183
331,689,514,184
337,706,471,185
320,691,518,186
349,734,517,187
334,688,529,188
335,698,525,189
320,760,479,190
323,685,542,191
308,749,520,192
313,708,493,193
353,725,488,194
368,705,509,195
322,684,516,196
348,668,520,197
359,724,485,198
373,667,511,199
362,688,479,200
309,654,558,201
334,749,501,202
342,723,502,203
347,686,540,204
342,734,506,205
330,731,495,206
337,734,501,207
332,706,543,208
327,739,519,209
316,733,525,210
328,737,525,211
307,713,574,212
330,716,566,213
353,743,505,214
332,720,519,215
351,703,515,216
333,739,523,217
291,752,512,218
341,729,485,219
308,768,494,220
329,768,515,221
323,773,542,222
309,744,530,223
317,729,547,224
314,756,521,225
334,800,516,226
333,766,512,227
332,768,473,228
328,760,495,229
317,797,525,230
328,763,509,231
326,792,495,232
350,756,510,233
355,772,510,234
313,761,519,235
345,773,517,236
351,774,488,237
342,745,510,238
323,794,492,239
325,777,527,240
307,808,500,241
324,816,497,242
339,762,517,243
302,739,513,244
329,739,510,245
338,799,508,246
293,808,553,247
287,802,486,248
322,809,486,249
316,813,499,250
318,801,490,251
313,819,521,252
317,776,508,253
323,852,463,254
327,800,478,255
311,812,507,256
308,833,455,257
321,786,507,258
353,818,451,259
325,778,468,260
299,813,511,261
314,759,501,262
291,791,486,263
332,776,505,264
335,813,486,265
290,838,487,266
290,807,501,267
304,846,487,268
301,821,500,269
321,782,511,270
287,810,510,271
314,799,506,272
342,785,497,273
326,819,511,274
303,826,487,275
289,833,491,276
287,812,489,277
330,791,520,278
278,818,505,279
292,803,502,280
290,816,513,281
303,804,527,282
313,789,516,283
274,849,512,284
311,849,504,285
325,823,514,286
277,826,513,287
302,816,545,288
273,882,524,289
295,824,503,290
295,853,452,291
280,903,536,292
267,892,507,293
301,805,528,294
300,823,537,295
301,778,549,296
284,850,528,297
277,815,568,298
255,838,489,299
271,858,501,300
268,868,509,301
256,842,543,302
283,827,532,303
283,836,504,304
267,856,553,305
285,885,478,306
249,885,455,307
296,864,463,308
282,888,455,309
279,913,459,310
276,908,466,311
269,925,491,312
269,893,494,313
302,872,494,314
286,910,486,315
272,863,497,316
267,862,507,317
266,900,500,318
